City,Country,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Population,Prev,Growth
Dhaka,Bangladesh,1.31,2.09,9.17,0.77,312.91,295.54,71.58,21.32,20.83,62.14,13.48,59.06,21005860.0,20283552.0,0.0356
Minsk,Belarus,1.31,2.12,4.25,0.56,491.12,294.2,68.41,16.14,50.0,66.89,51.66,26.82,2028104.0,2016677.0,0.0057
Kolkata,India,0.84,2.41,4.83,0.87,241.35,271.52,75.35,28.8,31.29,72.59,25.64,43.33,14850066.0,14755186.0,0.0064
Kochi,India,0.6,1.81,3.62,0.84,181.02,271.52,74.27,28.98,70.23,71.78,45.13,16.93,3082055.0,2969638.0,0.0379
Kharkiv,Ukraine,1.0,3.21,3.27,0.88,523.02,255.74,68.99,17.11,35.06,67.05,30.76,53.75,1429004.0,1432345.0,-0.0023
Casablanca,Morocco,1.7,3.94,3.45,0.85,997.08,230.09,68.27,13.2,53.7,62.97,48.69,38.28,3752357.0,3716093.0,0.0098
Chiang Mai,Thailand,1.05,3.53,11.4,0.82,426.24,227.95,68.64,15.89,85.91,30.55,37.5,37.78,1166978.0,1151301.0,0.0136
Manila,Philippines,1.58,2.77,4.75,0.86,791.68,221.67,68.31,14.8,80.56,65.22,13.14,66.36,13923452.0,13698889.0,0.0164
Quito,Ecuador,1.22,2.94,6.54,0.29,310.54,196.13,67.15,14.24,32.41,14.76,46.43,48.36,1873763.0,1847748.0,0.0141
Hanoi,Vietnam,1.31,2.66,8.17,0.81,718.36,172.25,66.77,12.22,20.83,24.02,5.29,51.81,4678198.0,4479629.0,0.0443
Cairo,Egypt,1.42,3.27,7.33,0.19,425.85,163.44,67.93,11.9,56.48,86.16,17.25,48.81,20900604.0,20484964.0,0.0203
Karachi,Pakistan,1.0,3.27,5.11,0.67,197.78,139.6,67.81,14.63,51.57,69.63,18.5,74.36,16093786.0,15741406.0,0.0224
Lahore,Pakistan,1.23,3.27,6.54,0.66,206.08,132.95,67.32,12.45,48.94,30.55,28.52,51.98,12642423.0,12188196.0,0.0373
Addis Ababa,Ethiopia,0.46,2.29,4.18,0.72,653.77,124.22,59.88,6.38,63.89,85.59,28.41,26.04,4793699.0,4591983.0,0.0439
Indore,India,0.91,2.23,6.03,0.84,205.15,120.68,76.38,35.79,31.34,59.42,48.53,16.93,3016713.0,2919295.0,0.0334
